OrderDate,Category,City,Country,CustomerName,Discount,OrderID,PostalCode,ProductName,ProfitValue,Quantity,SalesValue,Region,Segment,ShipDate,ShipMode,State,Sub_Category,DaystoShipActual,SalesForecast,ShipStatus,DaystoShipScheduled,OrderProfitable,SalesaboveTarget,latitude,longitude
2011-01-17T00:00:00.000Z,Office Supplies,Philadelphia,United States,Delfina Latchford,0.7,CA-2011-115791,19134,GBC Linen Binding Covers,-14,2,18.59,East,Consumer,2011-01-19T00:00:00.000Z,Second Class,Pennsylvania,Binders,2,24,Shipped Early,3,null,null,39.9925,-75.1133
2011-01-17T00:00:00.000Z,Office Supplies,Philadelphia,United States,Delfina Latchford,0.2,CA-2011-115791,19134,Round Specialty Laser Printer Labels,10,3,30.07,East,Consumer,2011-01-19T00:00:00.000Z,Second Class,Pennsylvania,Labels,2,39,Shipped Early,3,null,null,39.9925,-75.1133
2011-01-17T00:00:00.000Z,Technology,Philadelphia,United States,Delfina Latchford,0.4,CA-2011-115791,19134,AT&T 841000 Phone,-31,3,124.2,East,Consumer,2011-01-19T00:00:00.000Z,Second Class,Pennsylvania,Phones,2,163,Shipped Early,3,null,null,39.9925,-75.1133
2011-01-19T00:00:00.000Z,Office Supplies,Springfield,United States,David Wiener,0.2,CA-2011-123477,97477,Fellowes Mighty 8 Compact Surge Protector,6,4,64.86,West,Corporate,2011-01-22T00:00:00.000Z,Second Class,Oregon,Appliances,3,85,Shipped On Time,3,null,null,44.0611,-123.0153
2011-01-20T00:00:00.000Z,Furniture,Scottsdale,United States,Toby Swindell,0.7,CA-2011-146591,85254,OSullivan 4-Shelf Bookcase in Odessa Pine,-321,5,181.47,West,Consumer,2011-01-21T00:00:00.000Z,First Class,Arizona,Bookcases,1,238,Shipped On Time,1,null,null,33.6165,-111.9554
2011-01-20T00:00:00.000Z,Office Supplies,Scottsdale,United States,Toby Swindell,0.7,CA-2011-146591,85254,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",-24,10,32.34,West,Consumer,2011-01-21T00:00:00.000Z,First Class,Arizona,Binders,1,42,Shipped On Time,1,null,null,33.6165,-111.9554
2011-01-20T00:00:00.000Z,Office Supplies,Scottsdale,United States,Toby Swindell,0.2,CA-2011-146591,85254,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",20,4,56.06,West,Consumer,2011-01-21T00:00:00.000Z,First Class,Arizona,Paper,1,73,Shipped On Time,1,null,null,33.6165,-111.9554
2011-01-20T00:00:00.000Z,Office Supplies,Scottsdale,United States,Toby Swindell,0.2,CA-2011-146591,85254,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",37,5,108.72,West,Consumer,2011-01-21T00:00:00.000Z,First Class,Arizona,Envelopes,1,142,Shipped On Time,1,null,null,33.6165,-111.9554
2011-01-21T00:00:00.000Z,Furniture,Jonesboro,United States,Hunter Lopez,0,US-2011-147627,72401,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",12,4,38.6,South,Consumer,2011-01-27T00:00:00.000Z,Standard Class,Arkansas,Furnishings,6,51,Shipped On Time,6,null,null,35.833,-90.6965
2011-01-21T00:00:00.000Z,Furniture,Jonesboro,United States,Hunter Lopez,0,US-2011-147627,72401,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,224,3,1067.94,South,Consumer,2011-01-27T00:00:00.000Z,Standard Class,Arkansas,Chairs,6,1399,Shipped On Time,6,null,null,35.833,-90.6965
2011-01-21T00:00:00.000Z,Furniture,Los Angeles,United States,Mark Van Huff,0,CA-2011-148614,90049,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",6,2,19.3,West,Consumer,2011-01-26T00:00:00.000Z,Standard Class,California,Furnishings,5,25,Shipped Early,6,null,null,34.066,-118.474
2011-01-21T00:00:00.000Z,Furniture,Westland,United States,Xylona Preis,0,CA-2011-167927,48185,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,30,3,272.94,Central,Consumer,2011-01-27T00:00:00.000Z,Standard Class,Michigan,Furnishings,6,358,Shipped On Time,6,null,null,42.3358,-83.3846
2011-01-21T00:00:00.000Z,Furniture,Westland,United States,Xylona Preis,0,CA-2011-167927,48185,Ultra Door Push Plate,5,3,14.73,Central,Consumer,2011-01-27T00:00:00.000Z,Standard Class,Michigan,Furnishings,6,19,Shipped On Time,6,null,null,42.3358,-83.3846
2011-01-21T00:00:00.000Z,Office Supplies,Jonesboro,United States,Hunter Lopez,0,US-2011-147627,72401,Newell 327,2,3,6.63,South,Consumer,2011-01-27T00:00:00.000Z,Standard Class,Arkansas,Art,6,9,Shipped On Time,6,null,null,35.833,-90.6965
2011-01-21T00:00:00.000Z,Office Supplies,Jonesboro,United States,Hunter Lopez,0,US-2011-147627,72401,Newell 351,7,7,22.96,South,Consumer,2011-01-27T00:00:00.000Z,Standard Class,Arkansas,Art,6,30,Shipped On Time,6,null,null,35.833,-90.6965
2011-01-21T00:00:00.000Z,Office Supplies,Jonesboro,United States,Hunter Lopez,0,US-2011-147627,72401,Staples,11,3,23.34,South,Consumer,2011-01-27T00:00:00.000Z,Standard Class,Arkansas,Envelopes,6,31,Shipped On Time,6,null,null,35.833,-90.6965
2011-01-21T00:00:00.000Z,Office Supplies,Los Angeles,United States,Mark Van Huff,0,CA-2011-148614,90049,"Wirebound Service Call Books, 5 1/2 x 4",9,2,19.36,West,Consumer,2011-01-26T00:00:00.000Z,Standard Class,California,Paper,5,25,Shipped Early,6,null,null,34.066,-118.474
2011-01-21T00:00:00.000Z,Office Supplies,Smyrna,United States,Muhammed MacIntyre,0.7,US-2011-147774,37167,GBC DocuBind TL200 Manual Binding Machine,-52,1,67.19,South,Corporate,2011-01-27T00:00:00.000Z,Standard Class,Tennessee,Binders,6,88,Shipped On Time,6,null,null,35.9656,-86.5048
2011-01-21T00:00:00.000Z,Office Supplies,Westland,United States,Xylona Preis,0,CA-2011-167927,48185,"Acco Pressboard Covers with Storage Hooks, 9 1/2 x 11, Executive Red",9,5,19.05,Central,Consumer,2011-01-27T00:00:00.000Z,Standard Class,Michigan,Binders,6,25,Shipped On Time,6,null,null,42.3358,-83.3846
2011-01-21T00:00:00.000Z,Office Supplies,Westland,United States,Xylona Preis,0,CA-2011-167927,48185,Eldon Fold N Roll Cart System,4,1,13.98,Central,Consumer,2011-01-27T00:00:00.000Z,Standard Class,Michigan,Storage,6,18,Shipped On Time,6,null,null,42.3358,-83.3846
2011-01-21T00:00:00.000Z,Office Supplies,Westland,United States,Xylona Preis,0,CA-2011-167927,48185,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,16,2,66.58,Central,Consumer,2011-01-27T00:00:00.000Z,Standard Class,Michigan,Storage,6,87,Shipped On Time,6,null,null,42.3358,-83.3846
2011-01-21T00:00:00.000Z,Office Supplies,Westland,United States,Xylona Preis,0.1,CA-2011-167927,48185,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",94,4,247.72,Central,Consumer,2011-01-27T00:00:00.000Z,Standard Class,Michigan,Appliances,6,325,Shipped On Time,6,null,null,42.3358,-83.3846
2011-01-21T00:00:00.000Z,Office Supplies,Westland,United States,Xylona Preis,0,CA-2011-167927,48185,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,13,3,43.92,Central,Consumer,2011-01-27T00:00:00.000Z,Standard Class,Michigan,Art,6,58,Shipped On Time,6,null,null,42.3358,-83.3846
2011-01-21T00:00:00.000Z,Office Supplies,Westland,United States,Xylona Preis,0,CA-2011-167927,48185,Storex Dura Pro Binders,13,5,29.7,Central,Consumer,2011-01-27T00:00:00.000Z,Standard Class,Michigan,Binders,6,39,Shipped On Time,6,null,null,42.3358,-83.3846
2011-01-21T00:00:00.000Z,Technology,Jonesboro,United States,Hunter Lopez,0,US-2011-147627,72401,Apple iPhone 5C,182,7,699.93,South,Consumer,2011-01-27T00:00:00.000Z,Standard Class,Arkansas,Phones,6,917,Shipped On Time,6,null,null,35.833,-90.6965
2011-01-22T00:00:00.000Z,Furniture,Miami,United States,Tom Boeckenhauer,0.2,CA-2011-110422,33180,Ultra Door Pull Handle,4,3,25.25,South,Consumer,2011-01-24T00:00:00.000Z,Second Class,Florida,Furnishings,2,33,Shipped Early,3,null,null,25.9597,-80.1403
2011-01-24T00:00:00.000Z,Office Supplies,Lafayette,United States,Speros Goranitis,0,CA-2011-146997,47905,"Alliance Big Bands Rubber Bands, 12/Pack",0,3,5.94,Central,Consumer,2011-01-28T00:00:00.000Z,Standard Class,Indiana,Fasteners,4,8,Shipped Early,6,null,null,40.4001,-86.8602
2011-01-24T00:00:00.000Z,Office Supplies,Las Vegas,United States,Ionia McGrath,0,CA-2011-102645,89115,Xerox 195,19,6,40.08,West,Consumer,2011-01-29T00:00:00.000Z,Standard Class,Nevada,Paper,5,53,Shipped Early,6,null,null,36.2158,-115.0671
2011-01-27T00:00:00.000Z,Furniture,Alexandria,United States,Shirley Daniels,0,US-2011-155502,22304,Eldon Image Series Black Desk Accessories,4,3,12.42,South,Home Office,2011-02-01T00:00:00.000Z,Standard Class,Virginia,Furnishings,5,16,Shipped Early,6,null,null,38.8149,-77.121
2011-01-27T00:00:00.000Z,Furniture,Alexandria,United States,Shirley Daniels,0,US-2011-155502,22304,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",31,3,62.82,South,Home Office,2011-02-01T00:00:00.000Z,Standard Class,Virginia,Furnishings,5,82,Shipped Early,6,null,null,38.8149,-77.121
2011-01-27T00:00:00.000Z,Furniture,Rapid City,United States,Carol Adams,0,CA-2011-167997,57701,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",40,2,141.96,Central,Corporate,2011-01-30T00:00:00.000Z,First Class,South Dakota,Bookcases,3,186,Shipped Late,1,null,null,44.1415,-103.2052
2011-01-27T00:00:00.000Z,Office Supplies,Alexandria,United States,Shirley Daniels,0,US-2011-155502,22304,"Eureka Recycled Copy Paper 8 1/2 x 11, Ream",9,3,19.44,South,Home Office,2011-02-01T00:00:00.000Z,Standard Class,Virginia,Paper,5,25,Shipped Early,6,null,null,38.8149,-77.121
2011-01-27T00:00:00.000Z,Office Supplies,Alexandria,United States,Shirley Daniels,0,US-2011-155502,22304,"REDIFORM Incoming/Outgoing Call Register, 11 X 8 1/2, 100 Messages",8,2,16.68,South,Home Office,2011-02-01T00:00:00.000Z,Standard Class,Virginia,Paper,5,22,Shipped Early,6,null,null,38.8149,-77.121
2011-01-27T00:00:00.000Z,Office Supplies,Alexandria,United States,Shirley Daniels,0,US-2011-155502,22304,"SAFCO Commercial Wire Shelving, 72h",0,8,489.92,South,Home Office,2011-02-01T00:00:00.000Z,Standard Class,Virginia,Storage,5,642,Shipped Early,6,null,null,38.8149,-77.121
2011-01-27T00:00:00.000Z,Office Supplies,Rapid City,United States,Carol Adams,0,CA-2011-167997,57701,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,5,2,10.68,Central,Corporate,2011-01-30T00:00:00.000Z,First Class,South Dakota,Binders,3,14,Shipped Late,1,null,null,44.1415,-103.2052
2011-01-27T00:00:00.000Z,Technology,Alexandria,United States,Shirley Daniels,0,US-2011-155502,22304,Jabra SPEAK 410,53,2,187.98,South,Home Office,2011-02-01T00:00:00.000Z,Standard Class,Virginia,Phones,5,246,Shipped Early,6,null,null,38.8149,-77.121
2011-01-27T00:00:00.000Z,Technology,Alexandria,United States,Shirley Daniels,0,US-2011-155502,22304,Macally Suction Cup Mount,0,13,155.35,South,Home Office,2011-02-01T00:00:00.000Z,Standard Class,Virginia,Phones,5,204,Shipped Early,6,null,null,38.8149,-77.121
2011-01-28T00:00:00.000Z,Furniture,San Diego,United States,Ed Jacobs,0.2,US-2011-117163,92037,Balt Split Level Computer Training Table,-17,3,333,West,Consumer,2011-02-03T00:00:00.000Z,Standard Class,California,Tables,6,436,Shipped On Time,6,null,null,32.8455,-117.2521
2011-01-28T00:00:00.000Z,Office Supplies,San Diego,United States,Ed Jacobs,0,US-2011-117163,92037,Dixon Ticonderoga Core-Lock Colored Pencils,12,4,36.44,West,Consumer,2011-02-03T00:00:00.000Z,Standard Class,California,Art,6,48,Shipped On Time,6,null,null,32.8455,-117.2521
2011-01-28T00:00:00.000Z,Office Supplies,San Diego,United States,Ed Jacobs,0,US-2011-117163,92037,Recycled Steel Personal File for Hanging File Folders,14,1,57.23,West,Consumer,2011-02-03T00:00:00.000Z,Standard Class,California,Storage,6,75,Shipped On Time,6,null,null,32.8455,-117.2521
2011-01-29T00:00:00.000Z,Office Supplies,New York City,United States,Jasper Cacioppo,0.2,CA-2011-100328,10024,"Pressboard Covers with Storage Hooks, 9 1/2 x 11, Light Blue",1,1,3.93,East,Consumer,2011-02-04T00:00:00.000Z,Standard Class,New York,Binders,6,5,Shipped On Time,6,null,null,40.7864,-73.9764
2011-01-31T00:00:00.000Z,Office Supplies,Detroit,United States,Mike Vittorini,0,CA-2011-134103,48234,Space Solutions HD Industrial Steel Shelving.,7,2,229.94,Central,Consumer,2011-02-05T00:00:00.000Z,Standard Class,Michigan,Storage,5,301,Shipped Early,6,null,null,42.4337,-83.0434
2011-01-31T00:00:00.000Z,Office Supplies,Detroit,United States,Mike Vittorini,0,CA-2011-134103,48234,Xerox 1972,5,2,10.56,Central,Consumer,2011-02-05T00:00:00.000Z,Standard Class,Michigan,Paper,5,14,Shipped Early,6,null,null,42.4337,-83.0434
2011-02-01T00:00:00.000Z,Furniture,Mission Viejo,United States,Liz Carlisle,0.15,CA-2011-115161,92691,"Sauder Facets Collection Library, Sky Alder Finish",3,2,290.67,West,Consumer,2011-02-03T00:00:00.000Z,First Class,California,Bookcases,2,381,Shipped Late,1,null,null,33.6128,-117.6622
2011-02-02T00:00:00.000Z,Technology,Green Bay,United States,Bradley Drucker,0,CA-2011-140795,54302,Enermax Aurora Lite Keyboard,206,6,468.9,Central,Consumer,2011-02-04T00:00:00.000Z,First Class,Wisconsin,Accessories,2,614,Shipped Late,1,null,null,44.5025,-87.9771
2011-02-03T00:00:00.000Z,Office Supplies,Saint Petersburg,United States,Eric Barreto,0.7,CA-2011-123400,33710,Surelock Post Binders,-12,2,18.34,South,Consumer,2011-02-10T00:00:00.000Z,Standard Class,Florida,Binders,7,24,Shipped Late,6,null,null,27.7898,-82.7243
2011-02-03T00:00:00.000Z,Office Supplies,San Diego,United States,Cynthia Delaney,0,CA-2011-139857,92037,Staples,6,5,12.35,West,Home Office,2011-02-07T00:00:00.000Z,Standard Class,California,Fasteners,4,16,Shipped Early,6,null,null,32.8455,-117.2521
2011-02-03T00:00:00.000Z,Technology,Saint Petersburg,United States,Eric Barreto,0.2,CA-2011-123400,33710,AT&T 17929 Lendline Telephone,14,5,180.96,South,Consumer,2011-02-10T00:00:00.000Z,Standard Class,Florida,Phones,7,237,Shipped Late,6,null,null,27.7898,-82.7243
2011-02-04T00:00:00.000Z,Office Supplies,Seattle,United States,Tom Boeckenhauer,0.2,CA-2011-111059,98105,Avery Durable Poly Binders,4,3,13.27,West,Consumer,2011-02-07T00:00:00.000Z,Second Class,Washington,Binders,3,17,Shipped On Time,3,null,null,47.6633,-122.3022
2011-02-04T00:00:00.000Z,Office Supplies,Seattle,United States,Tom Boeckenhauer,0.2,CA-2011-111059,98105,Ibico Laser Imprintable Binding System Covers,27,2,83.84,West,Consumer,2011-02-07T00:00:00.000Z,Second Class,Washington,Binders,3,110,Shipped On Time,3,null,null,47.6633,-122.3022
2011-02-05T00:00:00.000Z,Office Supplies,Escondido,United States,Mark Haberlin,0.2,CA-2011-104808,92025,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",6,2,17.25,West,Corporate,2011-02-09T00:00:00.000Z,Second Class,California,Binders,4,23,Shipped Late,3,null,null,33.1101,-117.07
2011-02-05T00:00:00.000Z,Office Supplies,San Diego,United States,Deborah Brumfield,0.2,CA-2011-107181,92024,GBC Recycled Grain Textured Covers,29,3,82.9,West,Home Office,2011-02-09T00:00:00.000Z,Standard Class,California,Binders,4,109,Shipped Early,6,null,null,33.0535,-117.2689
2011-02-05T00:00:00.000Z,Office Supplies,San Diego,United States,Deborah Brumfield,0,CA-2011-107181,92024,"Message Book, Standard Line While You Were Out, 5 1/2 X 4, 200 Sets/Book",16,4,34.24,West,Home Office,2011-02-09T00:00:00.000Z,Standard Class,California,Paper,4,45,Shipped Early,6,null,null,33.0535,-117.2689
2011-02-07T00:00:00.000Z,Office Supplies,Chesapeake,United States,Neil Ducich,0,CA-2011-131905,23320,Avery 480,7,4,15,South,Corporate,2011-02-10T00:00:00.000Z,First Class,Virginia,Labels,3,20,Shipped Late,1,null,null,36.7352,-76.2384
2011-02-07T00:00:00.000Z,Office Supplies,Romeoville,United States,Delfina Latchford,0.8,CA-2011-108182,60441,"Avery Flip-Chart Easel Binder, Black",-15,2,8.95,Central,Consumer,2011-02-11T00:00:00.000Z,Second Class,Illinois,Binders,4,12,Shipped Late,3,null,null,41.593,-88.0507
